Y,umur_krt,jumlah_art,luas_lantai,jk_krt,status_kawin_krt,pendidikan_krt,pekerjaan_krt,keluhan_kesehatan,internet_krt,usaha_mikro,bansos,wilayah,status_bangunan,jenis_lantai,jenis_dinding,jenis_atap,sumber_air,penerangan,bahan_bakar,motor,laptop,kabupaten
0,28,2,78,1,2,8,3,1,1,1,5,2,1,6,1,3,2,1,4,1,5,1
0,33,1,54,1,2,13,13,5,1,1,5,2,1,6,1,3,2,1,4,1,1,1
1,32,1,66,1,2,3,3,1,1,1,5,2,1,6,1,3,2,1,4,1,5,1
1,58,1,70,1,2,3,3,5,1,1,1,2,1,6,1,3,9,1,4,1,5,1
0,55,1,84,1,2,8,3,5,1,1,1,2,1,6,1,3,2,1,4,1,5,1
0,61,2,127,1,2,3,1,1,1,1,5,2,1,6,1,3,2,1,3,1,1,1
0,41,2,34,2,2,13,14,1,1,1,5,2,3,6,1,3,2,1,4,1,5,1
0,43,1,48,1,2,13,3,5,1,1,1,2,1,6,3,3,6,1,4,1,5,1
1,89,1,54,1,2,3,3,5,1,5,1,2,1,6,3,3,5,4,4,5,5,1
0,44,2,63,2,4,3,3,1,1,1,5,2,1,6,1,3,3,1,4,1,5,1
0,62,1,108,1,2,3,3,5,1,1,5,2,1,6,1,3,3,1,10,1,5,1
0,29,1,42,1,2,13,19,1,1,1,5,2,1,6,3,3,3,1,4,1,1,1
0,48,1,72,1,2,3,12,5,1,1,5,2,1,6,1,3,2,1,4,1,1,1
0,78,1,51,2,4,3,3,1,1,1,1,2,1,6,1,3,3,1,4,5,5,1
0,58,1,64,1,2,8,3,1,1,5,5,2,1,6,1,3,9,1,10,1,5,1
0,47,2,126,2,2,3,3,1,1,1,1,2,1,2,1,3,3,1,4,1,5,1
0,77,2,63,1,4,3,3,1,1,1,1,2,1,6,3,3,3,1,4,1,5,1
0,57,3,120,1,2,3,11,5,1,1,5,2,1,6,1,3,2,1,4,1,1,1
1,38,2,24,1,2,3,3,5,1,1,5,2,1,5,3,3,9,2,10,5,5,1
0,45,1,42,2,2,3,3,1,1,5,5,2,1,6,1,3,9,1,4,1,5,1
0,29,1,63,2,2,13,3,5,1,1,5,2,1,6,1,3,9,2,4,1,5,1
0,56,1,35,2,4,3,3,1,1,1,5,2,1,6,1,3,7,2,7,1,5,1
1,38,1,96,1,2,13,3,5,1,5,5,2,1,6,1,3,9,1,4,1,5,1
1,88,1,48,2,4,3,3,1,1,5,1,2,1,5,3,3,7,2,10,5,5,1
1,49,1,90,1,2,8,3,1,1,1,5,2,1,2,1,3,9,2,4,1,5,1
1,54,1,54,1,2,3,3,5,1,1,5,2,1,2,1,3,2,1,4,1,5,1
1,68,1,75,1,2,3,3,5,1,1,5,2,1,6,1,3,9,1,4,1,5,1
0,32,2,56,1,2,3,3,5,1,1,5,2,1,6,1,2,2,2,4,1,5,1
0,67,1,90,2,4,3,1,5,1,5,5,2,1,6,1,3,9,1,4,1,5,1
1,67,3,66,1,2,9,4,1,1,5,5,2,3,6,1,3,9,1,10,1,5,1
0,47,1,115,1,4,13,12,5,1,5,5,2,1,6,1,3,2,1,4,1,5,1
1,49,1,100,1,2,15,12,5,2,1,5,2,1,2,1,3,9,1,4,1,5,1
0,62,1,92,1,2,3,2,5,2,5,5,2,1,6,1,3,9,1,4,1,5,1
0,44,1,72,1,2,13,2,5,1,5,5,2,1,2,1,3,2,2,4,1,5,1
0,57,2,85,2,4,3,1,5,1,5,5,2,1,6,1,3,9,1,4,1,5,1
1,30,1,88,1,2,21,2,1,2,5,5,2,3,5,1,3,2,2,4,1,5,1
1,28,2,78,1,2,13,13,5,1,1,1,2,1,6,1,3,2,1,3,1,5,1
0,47,1,162,1,2,13,1,1,1,5,5,2,1,6,1,3,2,1,4,1,5,1
1,63,1,84,1,2,9,1,1,1,5,5,2,1,5,1,3,7,1,4,1,5,1
1,37,1,120,1,2,13,16,5,1,5,5,2,3,6,1,3,7,1,4,1,5,1
0,68,1,120,1,2,13,3,5,1,5,5,2,1,6,1,3,3,1,3,1,5,1
1,54,1,72,1,2,21,1,5,2,5,5,2,1,2,1,3,7,1,4,1,1,1
1,71,1,110,1,2,3,1,1,1,5,5,2,1,6,1,3,7,1,4,1,5,1
0,63,1,192,1,2,14,1,5,2,5,5,2,1,6,1,3,7,1,4,1,5,1
1,38,1,54,1,2,13,20,5,1,5,5,2,3,6,1,3,3,1,4,1,1,1
0,46,1,135,1,2,21,2,5,1,1,5,2,1,1,1,3,7,1,3,1,1,1
0,46,1,117,1,2,13,20,5,1,5,5,2,1,2,1,3,7,1,2,1,1,1
0,60,2,140,1,2,3,1,5,1,5,5,2,1,6,1,3,3,1,4,1,5,1
1,37,1,120,1,2,23,20,5,1,1,5,2,1,6,1,1,2,1,2,1,1,1
1,55,2,84,1,2,13,2,1,2,5,5,2,1,6,1,3,2,1,4,1,5,1
0,43,2,77,1,2,8,1,5,1,5,5,2,1,6,1,3,4,1,4,1,5,1
1,38,2,128,1,2,13,9,1,1,5,5,2,1,5,1,3,2,1,4,1,5,1
0,74,2,120,1,2,3,3,1,1,5,5,2,1,6,1,3,3,1,4,1,5,1
1,40,1,112,1,2,8,1,1,1,1,5,2,1,6,1,3,2,1,4,1,5,1
0,45,1,99,1,2,3,1,5,1,5,5,2,1,6,1,3,3,1,4,1,5,1
1,46,1,143,1,2,13,2,5,2,5,5,2,1,6,1,3,3,1,4,1,1,1
0,42,1,190,2,2,13,1,5,2,5,5,2,1,1,1,3,3,1,3,1,5,1
0,61,1,35,1,2,3,4,1,1,1,1,2,1,6,1,3,3,1,4,1,5,1
0,49,2,72,1,3,8,1,5,1,1,5,2,3,5,3,3,3,1,4,1,5,1
0,45,1,57,2,2,15,3,5,1,5,5,2,1,6,1,3,3,1,4,1,1,1
0,42,2,120,1,2,21,12,5,1,1,5,2,1,2,1,3,3,1,3,1,1,1
0,30,2,54,1,2,14,1,5,1,1,5,2,1,6,1,3,2,1,4,1,5,1
0,67,1,108,1,2,8,1,5,1,1,5,2,3,2,1,3,2,1,4,1,5,1
0,71,1,96,1,2,13,3,1,1,5,1,2,1,5,1,3,3,1,4,1,1,1
0,63,1,50,2,4,3,3,1,1,5,5,2,1,6,1,3,3,1,10,5,5,1
0,60,1,100,2,3,3,1,1,1,1,5,2,1,6,1,3,3,1,4,5,5,1
0,43,1,24,1,2,3,1,5,1,1,5,2,1,5,3,3,3,1,4,1,5,1
1,48,1,35,1,2,13,12,5,1,5,5,2,1,6,1,3,2,1,4,1,5,1
0,70,1,72,1,2,3,3,5,1,1,1,2,1,6,1,3,4,1,4,5,5,1
0,58,1,100,1,2,23,3,5,1,1,5,2,1,1,1,3,4,1,3,1,1,1
0,51,2,54,2,4,3,1,1,1,1,5,2,1,6,1,3,4,1,4,5,5,1
0,60,1,96,1,2,13,1,5,1,1,5,2,1,2,1,3,2,1,4,1,1,1
